Date,Open,High,Low,Close,Adj Close,Volume
8/6/19,49.077499,49.517502,48.509998,49.25,47.595501,143299200
8/7/19,48.852501,49.889999,48.455002,49.759998,48.088375,133457600
8/8/19,50.049999,50.8825,49.8475,50.857498,49.149002,108038000
8/9/19,50.325001,50.689999,49.822498,50.247501,48.743996,98478800
8/12/19,49.904999,50.512501,49.787498,50.119999,48.620304,89927600
8/13/19,50.255001,53.035,50.119999,52.2425,50.679306,188874000
8/14/19,50.790001,51.610001,50.647499,50.6875,49.170834,146189600
8/15/19,50.865002,51.285,49.9175,50.435001,48.925892,108909600
8/16/19,51.07,51.790001,50.959999,51.625,50.080276,110481600
8/19/19,52.654999,53.182499,52.5075,52.587502,51.013973,97654400
8/20/19,52.720001,53.337502,52.580002,52.59,51.016399,107537200
8/21/19,53.247501,53.412498,52.900002,53.16,51.569347,86141600
8/22/19,53.297501,53.610001,52.6875,53.115002,51.5257,89014800
8/23/19,52.357498,53.012501,50.25,50.66,49.144154,187272000
8/26/19,51.465,51.797501,51.264999,51.622501,50.07785,104174400
8/27/19,51.965,52.137501,50.8825,51.040001,49.512787,103493200
8/28/19,51.025002,51.43,50.830002,51.3825,49.845032,63755200
8/29/19,52.125,52.330002,51.665001,52.252499,50.688992,83962000
8/30/19,52.540001,52.612499,51.799999,52.185001,50.623528,84573600
9/3/19,51.607498,51.744999,51.055,51.424999,49.886272,80092000
9/4/19,52.0975,52.369999,51.830002,52.297501,50.732651,76752400
9/5/19,53,53.4925,52.877499,53.32,51.72456,95654800
9/6/19,53.512501,53.605,53.127499,53.314999,51.719704,77449200
9/9/19,53.709999,54.110001,52.767502,53.5425,51.940403,109237600
9/10/19,53.465,54.195,52.927502,54.174999,52.553974,127111600
9/11/19,54.517502,55.927502,54.432499,55.897499,54.224934,177158400
9/12/19,56.200001,56.605,55.715,55.772499,54.10368,128906800
9/13/19,55,55.197498,54.255001,54.6875,53.051147,159053200
9/16/19,54.432499,55.032501,54.389999,54.974998,53.330044,84632400
9/17/19,54.990002,55.205002,54.779999,55.174999,53.524055,73274800
9/18/19,55.264999,55.712502,54.860001,55.692501,54.02607,101360000
9/19/19,55.502499,55.939999,55.092499,55.240002,53.587109,88242400
9/20/19,55.345001,55.639999,54.3675,54.432499,52.803768,221652400
9/23/19,54.737499,54.959999,54.412498,54.68,53.043858,76662000
9/24/19,55.2575,55.622501,54.297501,54.419998,52.791645,124763200
9/25/19,54.637501,55.375,54.285,55.2575,53.604088,87613600
9/26/19,55,55.235001,54.7075,54.9725,53.327614,75334000
9/27/19,55.134998,55.240002,54.32,54.705002,53.068115,101408000
9/30/19,55.224998,56.145,55.197498,55.9925,54.317097,103909600
10/1/19,56.267502,57.055,56.049999,56.147499,54.467461,139223200
10/2/19,55.764999,55.895,54.482498,54.740002,53.102077,138449200
10/3/19,54.607498,55.240002,53.782501,55.205002,53.553162,114426000
10/4/19,56.41,56.872501,55.9725,56.752499,55.054352,138478800
10/7/19,56.567501,57.482498,56.459999,56.764999,55.066479,122306000
10/8/19,56.455002,57.014999,56.0825,56.099998,54.421383,111820000
10/9/19,56.7575,56.947498,56.41,56.7575,55.059208,74770400
10/10/19,56.982498,57.610001,56.825001,57.522499,55.801319,113013600
10/11/19,58.237499,59.41,58.077499,59.052502,57.285538,166795600
10/14/19,58.724998,59.532501,58.6675,58.967499,57.203075,96427600
10/15/19,59.0975,59.412498,58.720001,58.830002,57.069687,87360000
10/16/19,58.342499,58.810001,58.299999,58.592499,56.839294,73903200
10/17/19,58.772499,59.037498,58.380001,58.82,57.059986,67585200
10/18/19,58.647499,59.395,58.572498,59.102501,57.334038,97433600
10/21/19,59.380001,60.247501,59.330002,60.127499,58.328369,87247200
10/22/19,60.290001,60.549999,59.904999,59.990002,58.194981,82293600
10/23/19,60.525002,60.810001,60.305,60.794998,58.975895,75828800
10/24/19,61.127499,61.200001,60.452499,60.895,59.072906,69275200
10/25/19,60.790001,61.682499,60.720001,61.645,59.800449,73477200
10/28/19,61.855,62.3125,61.68,62.262501,60.399479,96572800
10/29/19,62.2425,62.4375,60.642502,60.822498,59.002575,142839600
10/30/19,61.189999,61.325001,60.302502,60.814999,58.995296,124522000
10/31/19,61.810001,62.2925,59.314999,62.189999,60.329151,139162000
11/1/19,62.384998,63.982498,62.290001,63.955002,62.041344,151125200
11/4/19,64.332497,64.462502,63.845001,64.375,62.448769,103272000
11/5/19,64.262497,64.547501,64.080002,64.282501,62.359051,79897600
11/6/19,64.192497,64.372498,63.842499,64.309998,62.385723,75864400
11/7/19,64.684998,65.087502,64.527496,64.857498,63.105724,94940400
11/8/19,64.672501,65.110001,64.212502,65.035004,63.278431,69986400
11/11/19,64.574997,65.6175,64.57,65.550003,63.779526,81821200
11/12/19,65.387497,65.697502,65.230003,65.489998,63.721153,87388800
11/13/19,65.282501,66.195,65.267502,66.1175,64.331711,102734400
11/14/19,65.9375,66.220001,65.525002,65.660004,63.886562,89182800
11/15/19,65.919998,66.445,65.752502,66.440002,64.645493,100206400
11/18/19,66.449997,66.857498,66.057503,66.775002,64.971458,86703200
11/19/19,66.974998,67,66.347504,66.572502,64.774406,76167200
11/20/19,66.385002,66.519997,65.099998,65.797501,64.020355,106234400
11/21/19,65.922501,66.002502,65.294998,65.502502,63.733307,121395200
11/22/19,65.647499,65.794998,65.209999,65.445,63.677361,65325200
11/25/19,65.677498,66.610001,65.629997,66.592499,64.793877,84020400
11/26/19,66.735001,66.790001,65.625,66.072502,64.28791,105207600
11/27/19,66.394997,66.995003,66.327499,66.959999,65.151451,65235600
11/29/19,66.650002,67,66.474998,66.8125,65.00795,46617600
12/2/19,66.817497,67.0625,65.862503,66.040001,64.256294,94487200
12/3/19,64.577499,64.8825,64.072502,64.862503,63.110592,114430400
12/4/19,65.267502,65.827499,65.169998,65.434998,63.667625,67181600
12/5/19,65.947502,66.472504,65.682503,66.394997,64.601715,74424400
12/6/19,66.870003,67.75,66.824997,67.677498,65.849564,106075600
12/9/19,67.5,67.699997,66.227501,66.730003,64.927643,128042400
12/10/19,67.150002,67.517502,66.464996,67.120003,65.307114,90420400
12/11/19,67.202499,67.775002,67.125,67.692497,65.864159,78756800
12/12/19,66.945,68.139999,66.830002,67.864998,66.031998,137310400
12/13/19,67.864998,68.824997,67.732498,68.787498,66.929581,133587600
12/16/19,69.25,70.197502,69.245003,69.964996,68.075256,128186000
12/17/19,69.892502,70.442497,69.699997,70.102501,68.209068,114158400
12/18/19,69.949997,70.474998,69.779999,69.934998,68.046089,116028400
12/19/19,69.875,70.294998,69.737503,70.004997,68.114189,98369200
12/20/19,70.557503,70.662498,69.639999,69.860001,67.973106,275978000
12/23/19,70.1325,71.0625,70.092499,71,69.082329,98572000
12/24/19,71.172501,71.222504,70.730003,71.067497,69.148003,48478800
12/26/19,71.205002,72.495003,71.175003,72.477501,70.51992,93121200
12/27/19,72.779999,73.4925,72.029999,72.449997,70.493134,146266000
12/30/19,72.364998,73.172501,71.305,72.879997,70.911552,144114400
12/31/19,72.482498,73.419998,72.379997,73.412498,71.429672,100805600
1/2/20,74.059998,75.150002,73.797501,75.087502,73.059418,135480400
1/3/20,74.287498,75.144997,74.125,74.357498,72.349136,146322800
1/6/20,73.447502,74.989998,73.1875,74.949997,72.925613,118387200
1/7/20,74.959999,75.224998,74.370003,74.597504,72.582672,108872000
1/8/20,74.290001,76.110001,74.290001,75.797501,73.750244,132079200
1/9/20,76.809998,77.607498,76.550003,77.407501,75.316765,170108400
1/10/20,77.650002,78.167503,77.0625,77.582497,75.48703,140644800
1/13/20,77.910004,79.267502,77.787498,79.239998,77.099747,121532000
1/14/20,79.175003,79.392502,78.042503,78.169998,76.058655,161954400
1/15/20,77.962502,78.875,77.387497,77.834999,75.732712,121923600
1/16/20,78.397499,78.925003,78.022499,78.809998,76.681366,108829200
1/17/20,79.067497,79.684998,78.75,79.682503,77.530304,137816400
1/21/20,79.297501,79.754997,79,79.142502,77.004906,110843200
1/22/20,79.644997,79.997498,79.327499,79.425003,77.279778,101832400
1/23/20,79.480003,79.889999,78.912498,79.807503,77.651947,104472000
1/24/20,80.0625,80.832497,79.379997,79.577499,77.428139,146537600
1/27/20,77.514999,77.942497,76.220001,77.237503,75.15136,161940000
1/28/20,78.150002,79.599998,78.047501,79.422501,77.277336,162234000
1/29/20,81.112503,81.962502,80.345001,81.084999,78.894928,216229200
1/30/20,80.135002,81.022499,79.6875,80.967499,78.780609,126743200
1/31/20,80.232498,80.669998,77.072502,77.377502,75.287575,199588400
2/3/20,76.074997,78.372498,75.555,77.165001,75.080826,173788400
2/4/20,78.827499,79.910004,78.407501,79.712502,77.559509,136616400
2/5/20,80.879997,81.190002,79.737503,80.362503,78.191963,118826800
2/6/20,80.642502,81.305,80.065002,81.302498,79.10656,105425600
2/7/20,80.592499,80.849998,79.5,80.0075,78.031273,117684000
2/10/20,78.544998,80.387497,78.462502,80.387497,78.401909,109348800
2/11/20,80.900002,80.974998,79.677498,79.902496,77.928886,94323200
2/12/20,80.3675,81.805,80.3675,81.800003,79.779518,113730400
2/13/20,81.047501,81.555,80.837502,81.217499,79.211403,94747600
2/14/20,81.184998,81.495003,80.712502,81.237503,79.230904,80113600
2/18/20,78.839996,79.9375,78.652496,79.75,77.780144,152531200
2/19/20,80,81.142502,80,80.904999,78.906624,93984000
2/20/20,80.657501,81.162498,79.552498,80.074997,78.097099,100566000
2/21/20,79.654999,80.112503,77.625,78.262497,76.329391,129554000
2/24/20,74.315002,76.044998,72.307503,74.544998,72.703712,222195200
2/25/20,75.237503,75.6325,71.532501,72.019997,70.241081,230673600
2/26/20,71.6325,74.470001,71.625,73.162498,71.355362,198054800
2/27/20,70.275002,71.5,68.239998,68.379997,66.690971,320605600
2/28/20,64.315002,69.602501,64.092499,68.339996,66.651962,426510000
3/2/20,70.57,75.360001,69.43,74.702499,72.857323,341397200
3/3/20,75.917503,76,71.449997,72.330002,70.543419,319475600
3/4/20,74.110001,75.849998,73.282501,75.684998,73.815552,219178400
3/5/20,73.879997,74.887497,72.852501,73.230003,71.421196,187572800
3/6/20,70.5,72.705002,70.307503,72.2575,70.472733,226176800
3/9/20,65.9375,69.522499,65.75,66.542503,64.89888,286744800
3/10/20,69.285004,71.610001,67.342499,71.334999,69.572998,285290000
3/11/20,69.347504,70.305,67.964996,68.857498,67.1567,255598800
3/12/20,63.985001,67.5,62,62.057499,60.524654,418474000
3/13/20,66.222504,69.980003,63.237499,69.4925,67.776001,370732000
3/16/20,60.487499,64.769997,60,60.552502,59.056831,322423600
3/17/20,61.877499,64.402496,59.599998,63.215,61.653561,324056000
3/18/20,59.942501,62.5,59.279999,61.6675,60.144287,300233600
3/19/20,61.8475,63.209999,60.6525,61.195,59.683464,271857200
3/20/20,61.794998,62.9575,57,57.310001,55.894421,401693200
3/23/20,57.02,57.125,53.1525,56.092499,54.706993,336752800
3/24/20,59.09,61.922501,58.575001,61.720001,60.195492,287531200
3/25/20,62.6875,64.5625,61.075001,61.380001,59.863895,303602000
3/26/20,61.630001,64.669998,61.59,64.610001,63.014111,252087200
3/27/20,63.1875,63.967499,61.762501,61.935001,60.405186,204216800
3/30/20,62.685001,63.880001,62.349998,63.702499,62.129028,167976400
3/31/20,63.900002,65.622498,63,63.572498,62.002239,197002000
4/1/20,61.625,62.18,59.782501,60.227501,58.739861,176218400
4/2/20,60.084999,61.287498,59.224998,61.232498,59.720039,165934000
4/3/20,60.700001,61.424999,59.7425,60.352501,58.861774,129880000
4/6/20,62.724998,65.777496,62.345001,65.6175,63.996731,201820400
4/7/20,67.699997,67.925003,64.75,64.857498,63.255493,202887200
4/8/20,65.684998,66.842499,65.307503,66.517502,64.874489,168895200
4/9/20,67.175003,67.517502,66.175003,66.997498,65.342644,161834800
4/13/20,67.077499,68.425003,66.457497,68.3125,66.62516,131022800
4/14/20,70,72.0625,69.512497,71.762497,69.989944,194994800
4/15/20,70.599998,71.582497,70.157501,71.107498,69.351128,131154400
4/16/20,71.845001,72.050003,70.587502,71.672501,69.902161,157125200
4/17/20,71.172501,71.737503,69.214996,70.699997,68.953674,215250000
4/20/20,69.487503,70.419998,69.212502,69.232498,67.522423,130015200
4/21/20,69.07,69.3125,66.357498,67.092499,65.435295,180991600
4/22/20,68.402496,69.474998,68.050003,69.025002,67.320061,116862400
4/23/20,68.967499,70.4375,68.717499,68.7575,67.059174,124814400
4/24/20,69.300003,70.752502,69.25,70.7425,68.99514,126161200
4/27/20,70.449997,71.135002,69.987503,70.792503,69.043922,117087600
4/28/20,71.269997,71.457497,69.550003,69.644997,67.924751,112004800
4/29/20,71.182503,72.417503,70.972504,71.932503,70.155739,137280800
4/30/20,72.489998,73.6325,72.087502,73.449997,71.635742,183064000
